observation_date,WANAN,WVNAN,WINAN,WYNAN
1939-01-01,393.2,368.7,628.4,47.9
1939-02-01,391.4,367.3,633.6,48.0
1939-03-01,399.8,371.5,641.9,48.4
1939-04-01,415.3,281.0,647.6,50.0
1939-05-01,428.6,328.1,659.5,52.9
1939-06-01,438.0,378.7,670.5,56.3
1939-07-01,437.6,378.5,678.0,58.5
1939-08-01,449.5,382.4,678.7,59.4
1939-09-01,467.5,391.6,691.0,61.2
1939-10-01,459.6,409.1,693.7,59.6
1939-11-01,445.2,411.7,687.6,56.1
1939-12-01,444.7,411.8,691.2,53.6
1940-01-01,426.4,393.0,667.3,49.5
1940-02-01,426.8,389.0,665.7,49.2
1940-03-01,434.6,390.9,670.1,50.0
1940-04-01,443.4,385.6,671.1,51.7
1940-05-01,456.3,391.8,678.1,54.2
1940-06-01,468.2,395.7,687.0,57.3
1940-07-01,476.4,395.5,706.4,59.5
1940-08-01,489.0,401.2,700.3,60.3
1940-09-01,505.0,407.3,718.4,60.7
1940-10-01,491.2,413.3,720.6,59.9
1940-11-01,483.2,413.0,719.8,57.0
1940-12-01,485.0,417.7,730.7,57.6
1941-01-01,478.7,408.7,710.2,56.9
1941-02-01,489.2,413.1,712.1,56.7
1941-03-01,500.0,422.3,725.0,55.8
1941-04-01,514.5,335.2,749.4,55.5
1941-05-01,520.2,436.2,764.8,57.2
1941-06-01,535.6,446.1,784.4,61.2
1941-07-01,557.1,454.8,808.2,64.1
1941-08-01,567.2,461.9,807.1,65.8
1941-09-01,587.1,469.0,822.3,66.4
1941-10-01,582.3,473.3,812.9,65.0
1941-11-01,569.9,468.2,807.7,61.9
1941-12-01,580.2,474.1,809.3,60.1
1942-01-01,569.1,463.6,788.4,57.3
1942-02-01,578.4,461.2,791.1,56.0
1942-03-01,590.5,463.8,799.1,56.7
1942-04-01,614.5,471.4,815.1,58.2
1942-05-01,635.8,477.3,833.8,60.5
1942-06-01,661.9,479.8,849.8,65.5
1942-07-01,681.5,478.7,876.1,69.8
1942-08-01,702.4,478.7,870.8,69.7
1942-09-01,724.9,479.0,881.5,67.4
1942-10-01,720.8,478.6,877.9,66.2
1942-11-01,718.0,476.0,875.8,64.4
1942-12-01,723.1,475.8,883.3,63.5
1943-01-01,697.3,469.6,865.6,61.9
1943-02-01,692.7,468.0,868.0,61.6
1943-03-01,708.5,469.5,876.8,61.9
1943-04-01,717.4,472.9,885.0,62.9
1943-05-01,725.5,472.5,886.6,63.5
1943-06-01,743.9,471.3,901.1,64.9
1943-07-01,756.5,466.6,902.1,65.3
1943-08-01,754.6,464.0,898.1,65.7
1943-09-01,755.4,465.9,898.0,66.5
1943-10-01,753.4,463.1,892.6,67.3
1943-11-01,756.4,459.1,885.8,67.5
1943-12-01,764.1,457.9,882.1,68.2
1944-01-01,754.3,453.6,877.0,66.3
1944-02-01,751.7,453.6,883.0,65.2
1944-03-01,755.7,454.0,885.9,63.7
1944-04-01,762.7,455.2,887.0,62.5
1944-05-01,770.8,457.4,889.5,63.3
1944-06-01,784.2,462.1,905.6,64.5
1944-07-01,790.3,464.0,920.1,64.8
1944-08-01,786.6,463.5,920.8,65.5
1944-09-01,786.0,465.6,918.8,66.1
1944-10-01,779.8,460.8,911.3,66.0
1944-11-01,773.0,458.4,908.5,65.8
1944-12-01,770.7,458.0,913.9,66.1
1945-01-01,748.5,458.5,906.2,63.0
1945-02-01,738.9,459.3,913.3,62.2
1945-03-01,735.7,461.5,918.2,61.8
1945-04-01,729.5,463.2,909.7,61.5
1945-05-01,731.3,466.0,908.0,63.1
1945-06-01,734.5,469.6,909.1,65.2
1945-07-01,734.2,463.0,918.9,65.6
1945-08-01,729.8,466.4,902.0,66.4
1945-09-01,678.9,455.4,856.6,67.5
1945-10-01,643.4,443.9,852.8,67.5
1945-11-01,634.3,455.9,868.9,68.2
1945-12-01,639.0,466.9,894.2,67.4
1946-01-01,625.3,466.3,878.7,64.1
1946-02-01,622.9,454.7,882.5,62.8
1946-03-01,629.8,466.9,894.7,63.3
1946-04-01,639.5,417.3,914.3,60.3
1946-05-01,646.7,477.3,907.1,65.1
1946-06-01,662.1,488.3,912.2,68.0
1946-07-01,667.6,489.4,955.7,70.1
1946-08-01,669.4,498.7,945.6,71.8
1946-09-01,670.1,506.2,958.9,72.1
1946-10-01,659.1,506.7,954.9,71.2
1946-11-01,649.4,510.7,964.1,70.2
1946-12-01,650.6,510.8,977.7,69.0
1947-01-01,638.5,505.8,952.1,64.8
1947-02-01,640.1,505.2,957.2,64.5
1947-03-01,652.1,508.9,969.6,65.3
1947-04-01,661.2,509.5,972.5,67.0
1947-05-01,667.4,517.2,981.0,69.8
1947-06-01,679.2,524.9,991.1,77.2
1947-07-01,675.3,515.4,1012.1,79.5
1947-08-01,688.2,523.7,999.6,81.1
1947-09-01,696.9,529.0,1004.2,80.6
1947-10-01,686.0,527.9,991.8,77.8
1947-11-01,681.7,529.3,993.6,75.6
1947-12-01,684.6,538.6,1006.4,73.8
1948-01-01,659.6,532.2,994.3,70.3
1948-02-01,653.9,533.6,995.0,69.4
1948-03-01,665.8,543.5,1000.5,70.1
1948-04-01,674.3,530.4,1003.7,73.0
1948-05-01,659.0,556.6,1002.7,75.8
1948-06-01,683.4,562.1,1022.2,83.6
1948-07-01,703.2,559.4,1028.2,86.3
1948-08-01,709.7,561.9,1022.0,88.4
1948-09-01,717.9,564.7,1031.1,89.0
1948-10-01,708.9,557.4,1024.2,85.3
1948-11-01,698.1,553.0,1023.2,81.8
1948-12-01,691.9,556.1,1029.6,78.9
1949-01-01,642.1,548.1,992.3,72.8
1949-02-01,635.1,543.8,983.4,72.4
1949-03-01,660.4,539.6,980.6,72.7
1949-04-01,678.0,541.5,986.5,74.7
1949-05-01,682.8,542.7,983.2,78.0
1949-06-01,692.8,541.3,989.9,81.9
1949-07-01,683.1,519.0,988.9,84.3
1949-08-01,687.6,520.0,995.6,85.9
1949-09-01,702.7,526.9,998.3,83.0
1949-10-01,678.1,412.9,985.5,80.8
1949-11-01,658.8,510.8,975.4,79.6
1949-12-01,655.9,531.1,982.0,78.1
1950-01-01,603.3,515.8,960.4,71.3
1950-02-01,609.5,394.9,963.8,68.1
1950-03-01,638.0,520.9,973.3,72.0
1950-04-01,658.4,536.6,986.5,75.4
1950-05-01,674.1,537.8,1002.1,80.0
1950-06-01,684.5,540.4,1020.2,85.6
1950-07-01,696.7,529.3,1048.7,87.5
1950-08-01,722.4,538.7,1055.5,88.6
1950-09-01,740.0,546.9,1067.9,87.2
1950-10-01,736.0,542.6,1056.7,84.3
1950-11-01,722.6,541.6,1059.5,82.3
1950-12-01,719.8,546.3,1070.6,80.5
1951-01-01,688.0,531.0,1040.3,75.4
1951-02-01,692.1,529.5,1038.8,75.1
1951-03-01,700.9,537.6,1053.3,76.8
1951-04-01,718.2,531.9,1060.8,79.0
1951-05-01,737.2,538.8,1065.4,83.2
1951-06-01,751.1,539.7,1082.3,87.7
1951-07-01,756.1,533.1,1095.4,89.0
1951-08-01,761.1,536.9,1087.2,92.2
1951-09-01,764.3,542.8,1094.0,86.7
1951-10-01,757.9,541.6,1077.0,84.3
1951-11-01,746.4,541.5,1072.8,82.8
1951-12-01,744.0,545.4,1087.0,82.2
1952-01-01,701.3,531.4,1048.3,78.0
1952-02-01,709.6,527.6,1051.8,77.5
1952-03-01,724.4,530.4,1051.9,78.7
1952-04-01,739.6,531.5,1065.4,81.2
1952-05-01,731.1,530.5,1069.5,85.5
1952-06-01,750.8,519.1,1087.4,90.6
1952-07-01,765.2,505.5,1088.5,91.6
1952-08-01,772.4,523.1,1080.1,92.8
1952-09-01,776.7,528.6,1103.0,90.7
1952-10-01,769.0,526.3,1097.0,88.9
1952-11-01,755.6,525.9,1101.5,87.1
1952-12-01,754.1,537.3,1115.3,86.2
1953-01-01,717.1,517.1,1078.4,80.6
1953-02-01,720.7,510.9,1080.7,79.2
1953-03-01,733.5,513.5,1087.6,80.4
1953-04-01,736.1,513.1,1096.5,82.8
1953-05-01,746.3,512.8,1099.7,86.0
1953-06-01,763.3,512.8,1105.7,91.3
1953-07-01,770.1,506.0,1109.8,93.5
1953-08-01,768.0,511.0,1115.0,94.3
1953-09-01,776.6,516.4,1114.8,91.8
1953-10-01,765.7,516.2,1100.8,91.0
1953-11-01,747.1,513.3,1089.2,88.6
1953-12-01,739.5,513.8,1089.1,86.7
1954-01-01,699.8,488.9,1054.2,80.9
1954-02-01,701.4,481.2,1048.0,79.5
1954-03-01,719.9,477.3,1044.6,78.3
1954-04-01,734.7,476.3,1050.8,81.0
1954-05-01,745.6,474.6,1054.9,83.9
1954-06-01,758.8,472.9,1069.3,90.1
1954-07-01,738.0,467.9,1092.0,91.2
1954-08-01,739.1,470.1,1084.2,92.3
1954-09-01,773.1,473.8,1091.5,89.9
