No.;Elected President;Winner_party;Year_election;Year_mandate_begins
1;George Washington;Unaffiliated;1788;1789
2;John Adams;Federalist;1796;1797
3;Thomas Jefferson;Democratic-Republican;1800;1801
4;James Madison;Democratic-Republican;1808;1809
5;James Monroe;Democratic-Republican;1816;1817
6;John Quincy Adams;Democratic-Republican | National Republican;1824;1825
7;Andrew Jackson;Democratic;1828;1829
8;Martin Van Buren;Democratic;1836;1837
9;William Henry Harrison;Whig;1840;1841
10;John Tyler;Whig |  Unaffiliated;;
11;James K. Polk;Democratic;1844;1845
12;Zachary Taylor;Whig;1848;1849
13;Millard Fillmore;Whig;;
14;Franklin Pierce;Democratic;1852;1853
15;James Buchanan;Democratic;1856;1857
16;Abraham Lincoln;Republican | National Union;1860;1861
17;Andrew Johnson;National Union | Democratic;;
18;Ulysses S. Grant;Republican;1868;1869
19;Rutherford B. Hayes;Republican;1876;1877
20;James A. Garfield;Republican;1880;1881
21;Chester A. Arthur;Republican;;
22;Grover Cleveland;Democratic;1884;1885
23;Benjamin Harrison;Republican;1888;1889
24;Grover Cleveland;Democratic;1892;1893
25;William McKinley;Republican;1896;1897
26;Theodore Roosevelt;Republican;;1902
27;William Howard Taft;Republican;1908;1909
28;Woodrow Wilson;Democratic;1912;1913
29;Warren G. Harding;Republican;1920;1921
30;Calvin Coolidge;Republican;;1923
31;Herbert Hoover;Republican;1928;1929
32;Franklin D. Roosevelt;Democratic;1932;1933
33;Harry S. Truman;Democratic;;1945
34;Dwight D. Eisenhower;Republican;1952;1953
35;John F. Kennedy;Democratic;1960;1961
36;Lyndon B. Johnson;Democratic;;1964
37;Richard Nixon;Republican;1968;1969
38;Gerald Ford;Republican;;1974
39;Jimmy Carter;Democratic;1976;1977
40;Ronald Reagan;Republican;1980;1981
41;George H. W. Bush;Republican;1988;1989
42;Bill Clinton;Democratic;1992;1993
43;George W. Bush;Republican;2000;2001
44;Barack Obama;Democratic;2008;2009
45;Donald Trump;Republican;2016;2017
46;Joe Biden;Democratic;2020;2021
47;Donald Trump;Republican;2024;2025
