"State","mean_res_share","max_res_share","min_res_share"
"AK",0.391077930997409,0.809342317240651,0.0402968678830748
"WY",0.215448625102275,0.428609537437666,0.032895370876032
"NM",0.202169336299603,0.424362099369003,0.101676765999834
"LA",0.182676554118201,0.316409540421483,0.0671605582227143
"TX",0.125053479727534,0.256997183862063,0.0393848686547865
"MT",0.106858961823389,0.257312050168533,0.0412289712630921
"ND",0.103275153078662,0.235208790764346,0.0461363430807386
"OK",0.103188369287901,0.219217639628123,0.0383910997191138
"SD",0.0797862442781556,0.150262022579515,0.0340769058421554
"DE",0.0602998799173287,0.155583685217994,0.0135569638509243
"OR",0.0596452784695156,0.132702272990232,0.0185798718225402
"NH",0.0571975761638789,0.142694533319451,0.00854274307186472
"RI",0.0517786983972789,0.137275730214295,0.00551103662191495
"KY",0.0498947699781226,0.104747211664584,0.0126222856295857
"NE",0.0472873215749729,0.0836035766668148,0.0238234298082445
"ID",0.0464299839131498,0.0704250427674611,0.0282595832353088
"UT",0.0435779031312421,0.0731348937733357,0.0205317857684722
"MN",0.0423457601963343,0.106920178011995,0.011858839068783
"VT",0.0406216812713666,0.0720311539394267,0.0106512580159388
"WV",0.0403375096433318,0.0909254015746032,0.00753151989984057
"HI",0.039795464610112,0.072759004491705,0.0179445509958079
"CO",0.0394375563177359,0.0660177859171869,0.0173807324284827
"AL",0.0378668283458756,0.122237564601569,0.0106777789033873
"ME",0.0368515723112301,0.0752304759571585,0.0140436946151794
"CT",0.0368292650740844,0.0949020662898778,0.0139130336195429
"MS",0.0366437588163975,0.0693321339826164,0.0177995762048625
"KS",0.0322910232706488,0.0661865955738032,0.0101181263568307
"NJ",0.0319971698368637,0.0789632126944308,0.0113860552742432
"AR",0.0318853229952875,0.0555746834239994,0.0157119321405936
"MO",0.0313127383217773,0.073692424247481,0.00809104985926194
"NV",0.0308797689136393,0.0544617989998292,0.0105733833145624
"VA",0.0307260659089311,0.0543065000068102,0.0138125948143889
"MA",0.0298617748739614,0.0667566838141125,0.00489002861297375
"FL",0.0286649639139516,0.0614699917907444,0.00930085926062416
"IL",0.0270620989571905,0.0478249688159109,0.00650047699236155
"AZ",0.0268815390255066,0.0492027934590823,0.00983246639194758
"CA",0.0263916910283637,0.0435220787122064,0.0126541920101228
"SC",0.0263126689465897,0.0620039023358989,0.0120058235445066
"IN",0.0261596041778258,0.0493228698673501,0.00891514079244047
"WI",0.0254382936789509,0.0484103616002349,0.0120940221333648
"MD",0.0252684708072286,0.0445109283557118,0.0106851565174834
"NC",0.0246759151370799,0.0339187188475864,0.0162157779098035
"NY",0.0245912079585472,0.0436420159611496,0.00938613070174229
"MI",0.0243644259056392,0.0444155718875017,0.0082359644948863
"IA",0.0238149256780885,0.0403151333256378,0.00921433822936281
"WA",0.0236289669459055,0.038388896584484,0.0136123877067351
"GA",0.0217099858569446,0.0357032652819394,0.00963153890759745
"PA",0.0206887854469524,0.039174315265446,0.00631832413500318
"TN",0.0205868568475686,0.0428572457074111,0.00816805694768166
"OH",0.0178194470080348,0.0388320390699509,0.00610692190222358
